City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Boende,CD,2021-04-01 14:17:40,-0.2167,20.8667,87.67,51,81,3.69
68,Kodiak,US,2021-04-01 14:17:40,57.79,-152.4072,24.8,36,1,25.32
69,Nikolskoye,RU,2021-04-01 14:17:40,59.7035,30.7861,46.4,53,40,17.9
70,Batticaloa,LK,2021-04-01 14:17:41,7.7102,81.6924,82.63,83,5,4.32
71,Luderitz,NA,2021-04-01 14:17:41,-26.6481,15.1594,76.6,55,1,16.93
72,Rawson,AR,2021-04-01 14:16:22,-43.3002,-65.1023,62.53,68,100,5.5
73,Tuktoyaktuk,CA,2021-04-01 14:17:42,69.4541,-133.0374,-23.8,69,20,11.5
74,Cape Town,ZA,2021-04-01 14:17:23,-33.9258,18.4232,71.01,52,0,20.71
75,Coquimbo,CL,2021-04-01 14:17:42,-29.9533,-71.3436,59.0,77,90,3.44
76,Vardo,NO,2021-04-01 14:17:42,70.3705,31.1107,33.8,86,75,9.22
77,Kaitangata,NZ,2021-04-01 14:17:43,-46.2817,169.8464,61.0,54,100,3.0
78,Khandyga,RU,2021-04-01 14:17:43,62.6667,135.6,21.13,96,100,5.23
79,Brae,GB,2021-04-01 14:17:43,60.3964,-1.353,44.6,65,75,12.66
80,Half Moon Bay,US,2021-04-01 14:13:48,37.4636,-122.4286,55.4,40,20,5.57
81,Mareeba,AU,2021-04-01 14:17:44,-17.0,145.4333,75.2,78,75,11.5
82,Marsh Harbour,BS,2021-04-01 14:17:44,26.5412,-77.0636,76.66,74,89,9.4
83,Juegang,CN,2021-04-01 14:17:45,32.3174,121.1855,57.0,98,100,11.52
84,Hami,CN,2021-04-01 14:17:45,42.8,93.45,52.45,25,0,2.75
85,Santa Ana,US,2021-04-01 14:17:45,33.7456,-117.8678,68.0,47,20,6.13
86,Falmouth,GB,2021-04-01 14:17:46,50.1544,-5.0711,66.2,72,0,28.77
87,Caravelas,BR,2021-04-01 14:17:46,-17.7125,-39.2481,86.85,60,59,6.33
88,Aswan,EG,2021-04-01 14:17:46,24.0934,32.907,81.97,13,0,10.47
89,Ngunguru,NZ,2021-04-01 14:17:47,-35.6167,174.5,61.0,96,17,8.01
90,Geraldton,AU,2021-04-01 14:17:47,-28.7667,114.6,75.2,88,0,8.05
91,San Quintin,MX,2021-04-01 14:17:47,30.4833,-115.95,64.26,35,0,5.28
92,Kavaratti,IN,2021-04-01 14:17:48,10.5669,72.642,83.97,64,61,12.75
93,Capitao Poco,BR,2021-04-01 14:17:48,-1.7464,-47.0594,82.92,77,98,3.42
94,Santa Cruz De La Palma,ES,2021-04-01 14:17:48,28.6835,-17.7642,73.4,56,20,6.91
