City_ID,City,Country,Lat,Lng,Max Temp,Current Description,Hotel Name
0,Kahului,US,20.8947,-156.47,78.8,scattered clouds,Maui Seaside Hotel
6,Kloulklubed,PW,7.0419,134.2556,77.0,broken clouds,Storyboard Beach Resort
8,Arraial Do Cabo,BR,-22.9661,-42.0278,82.4,few clouds,Pousada Porto Praia
9,Carnarvon,AU,-24.8667,113.6333,77.0,clear sky,Hospitality Carnarvon
11,Saint-Georges,GD,12.0564,-61.7485,84.2,few clouds,Siesta Hotel
12,Gamba,GA,-2.65,10.0,78.78,light rain,
13,Rikitea,PF,-23.1203,-134.9692,75.52,light rain,Pension Maro'i
17,Manta,EC,-0.95,-80.7333,84.2,few clouds,Balandra Hotel
18,Georgetown,MY,5.4112,100.3354,81.0,light rain,Cititel Penang
25,Souillac,MU,-20.5167,57.5167,80.6,light rain,Shanti Maurice Resort & Spa
29,Puerto Ayora,EC,-0.7393,-90.3518,82.4,light rain,Finch Bay Galapagos Hotel
32,Saint George,US,37.1041,-113.5841,84.99,clear sky,Best Western Plus Abbey Inn
33,Mahebourg,MU,-20.4081,57.7,80.6,light rain,Shandrani Beachcomber Resort & Spa
35,Poum,NC,-20.2333,164.0167,79.81,broken clouds,Gîte kajeon
36,Grand Gaube,MU,-20.0064,57.6608,79.0,clear sky,Veranda Paul et Virginie Hotel & Spa
37,Victoria,HK,22.2855,114.1577,78.01,clear sky,Mini Hotel Central
44,Maxixe,MZ,-23.8597,35.3472,75.2,few clouds,Oceano
47,Kapaa,US,22.0752,-159.319,75.2,light rain,Sheraton Kauai Resort at Coconut Beach
48,Atuona,PF,-9.8,-139.0333,80.89,overcast clouds,Villa Enata
52,Remedios,CU,22.4947,-79.5458,75.2,broken clouds,Hostal Yunai
57,Socorro,US,31.6546,-106.3033,82.99,few clouds,guarderia imss papalote
58,Olinda,BR,-8.0089,-34.8553,77.0,broken clouds,Hotel Albergue de Olinda
60,Labrea,BR,-7.2586,-64.7981,81.03,light rain,Hotel Novo Horizonte
68,Odienne,CI,9.51,-7.5692,85.12,broken clouds,Oustaz Vame DIAKITE
72,Asosa,ET,10.0667,34.5333,76.87,overcast clouds,Blendana Hotel Assosa
73,Kota Bahru,MY,6.1333,102.2386,78.8,few clouds,Grand Riverview Hotel
75,Sao Felix Do Xingu,BR,-6.6447,-51.995,85.77,broken clouds,Rio Xingu Camping
80,Dingle,PH,10.9995,122.6711,75.27,overcast clouds,SEGAYA PROPERTY
81,Butaritari,KI,3.0707,172.7902,82.65,overcast clouds,Isles Sunset Lodge
93,Piacabucu,BR,-10.4056,-36.4344,81.37,clear sky,Piaçabuçu News
94,Hambantota,LK,6.1241,81.1185,77.94,overcast clouds,Bungalow 63
99,Batticaloa,LK,7.7102,81.6924,80.58,overcast clouds,Grand Star Guest House
102,Samarai,PG,-10.6167,150.6667,82.58,overcast clouds,Nuli Sapi
103,Faanui,PF,-16.4833,-151.75,81.88,few clouds,Bora-Bora Pearl Beach Resort & Spa
110,Quatre Cocos,MU,-20.2078,57.7625,80.6,light rain,Emeraude Beach Attitude Hotel
118,Sao Felipe,BR,-14.8167,-41.3833,86.04,overcast clouds,
120,Pisco,PE,-13.7,-76.2167,75.2,clear sky,Hotel San Isidro Oficial
121,Sola,VU,-13.8833,167.55,82.63,overcast clouds,Leumerus Bungalows
131,Qandala,SO,11.472000000000001,49.8728,80.02,overcast clouds,
132,Loanda,AO,-8.8368,13.2343,78.8,moderate rain,LANDU MARINEZA LUFUANDU TONI
140,Mandiana,GN,10.6333,-8.6833,88.12,broken clouds,Centre d'accueil de Mandiana
146,Diffa,NE,13.3154,12.6113,81.21,clear sky,ProDAF/Diffa
148,Veraval,IN,20.9,70.3667,78.26,few clouds,Lords Inn Somnath
